ASDM_UID FOV FREQUENCY_RESOLUTION
uid://A002/X3cb0a0/X9e8 21.75790018995368 976.5625
uid://A002/X35abb2/X26f 58.514879358600076 30.517578125
uid://A002/X3c7a84/X443 67.82725218085868 488.28125
uid://A002/X44ddb2/X238 27.22558340534398 976.5625
uid://A002/X45f1dd/X1ce 23.77358490566038 976.5625
uid://A002/X40d164/X4b5 63.003417935422995 31250.0
uid://A002/X412638/X9 21.099873437603957 976.5625
uid://A002/X41c27b/X838 18.401374728734893 976.5625
uid://A002/X3dc0e7/X2b5 18.62992541775776 976.5625
uid://A002/X41d520/Xd2d 18.05717456079165 976.5625
uid://A002/X4320bd/Xf38 18.060668235694386 976.5625
uid://A002/X463144/X609 9.304220390197722 976.5625
uid://A002/X41d520/X21d 24.99999999999256 31250.0
uid://A002/X32041d/X451 60.994796078935494 976.5625
uid://A002/X321719/X424 60.994796078935494 976.5625
uid://A002/X41d520/X541 8.923975694914768 31250.0
uid://A002/X32041d/X759 63.2927288710603 976.5625
uid://A002/X47aefc/X18 58.724284822102696 976.5625
uid://A002/X5552a3/Xdfb 22.026202885391314 976.5625
uid://A002/X51ee7e/X67a 17.999271640183004 976.5625
uid://A002/X41ac1f/X3f8 19.84076307447562 976.5625
uid://A002/X4210d0/Xb31 19.686764207175454 976.5625
uid://A002/X4b29af/Xab7 18.636290892977108 976.5625
uid://A002/X518d2b/Xb3a 19.165362750197918 244.140625
uid://A002/X46457e/X71 9.029912919380143 31250.0
uid://A002/X533e2c/X288 9.227517932572265 488.28125
uid://A002/X535168/Xd17 27.954180303059044 976.5625
uid://A002/X57b9e2/X22a 66.52247568095568 976.5625
uid://A002/X54face/X528 28.18791946308725 976.5625
uid://A002/X31bf7f/X7a 17.60315817422558 976.5625
uid://A002/X3f837d/Xbe 66.52247568095568 976.5625
uid://A002/X5784d5/X32d 66.52247568095568 976.5625
uid://A002/X494155/X40 28.506787330323192 976.5625
uid://A002/X569422/X50d 9.381545530141459 31250.0
uid://A002/X36a70f/Xab6 26.301447274709787 976.5625
uid://A002/X513d18/X261 18.205319594396 122.0703125
uid://A002/X2f0ad3/X279 18.48955074045588 976.5625
uid://A002/X436934/X2f9 18.367634769786847 31250.0
uid://A002/X2eea47/X464 18.475073313782993 976.5625
uid://A002/X307fb7/X4a9 18.475073313782993 976.5625
uid://A002/X552607/X4b 18.744493693424566 244.140625
uid://A002/X31bf7f/X1f8 21.0867367772772 976.5625
uid://A002/X535168/X796 9.374999999998256 31250.0
uid://A002/X5552a3/X7d0 59.32274052040262 30.517578125
uid://A002/X535168/X166 18.475073313782993 976.5625
uid://A002/X47bd4d/X6a9 68.22661959029915 976.5625
uid://A002/X41f8d2/X2ed 9.101977384357506 31250.0
uid://A002/X383b50/X7b4 59.323980902819905 30.517578125
uid://A002/X2f0ad3/X71 18.48955074045588 976.5625
uid://A002/X56a957/X64 24.03930802791552 976.5625
uid://A002/X307fb7/Xd62 18.26115671529038 31250.0
uid://A002/X2c75ca/X7ce 28.165696287642756 976.5625
uid://A002/X5578f1/X5b4 27.1610246938084 976.5625
uid://A002/X41e287/X591 9.084939888836306 31250.0
uid://A002/X3b3400/Xcd7 27.878398607029734 61.03515625
uid://A002/X411025/X6d7 21.92566007504179 31250.0
uid://A002/X3302c8/Xe 18.813802868913815 976.5625
uid://A002/X388522/X1f3 58.724284822102696 976.5625
uid://A002/X43036c/X410 27.951480307855427 61.03515625
uid://A002/X4785e0/Xab0 18.277632273147045 488.28125
uid://A002/X43036c/X9c6 18.32460732983627 31250.0
uid://A002/X65007d/Xaea 17.62232734671406 488.28125
uid://A002/X36e26f/X22 26.78621738144822 976.5625
uid://A002/X36e957/X604 58.857876912324585 976.5625
uid://A002/X307fb7/X224 18.636290892977108 976.5625
uid://A002/X36bf6c/X58a 18.26115671529038 31250.0
uid://A002/X3ca066/X114 25.2 31250.0
uid://A002/X49990a/X1f 18.32460732984027 31250.0
uid://A002/X32d5f1/X937 18.755845292678043 976.5625
uid://A002/X30cca6/Xc0 58.64926006278171 976.5625
uid://A002/X449249/X247 67.37404062173407 976.5625
uid://A002/X3302c8/X17a 18.32460732984027 31250.0
uid://A002/X35edea/X441 28.184667349702355 244.140625
uid://A002/X36a70f/Xc87 28.459988356483098 976.5625
uid://A002/X2ec530/X9fe 18.314242310362015 31250.0
uid://A002/X2ec530/Xf0b 18.314242310362015 31250.0
uid://A002/X2eea47/Xa3a 18.314242310362015 31250.0
uid://A002/X36a70f/X895 27.9883110627152 488.28125
uid://A002/X3ca066/X93e 24.420830922256087 31250.0
uid://A002/X3e17df/X1cd 21.935126237434897 31250.0
uid://A002/X45e2af/X139 18.05717456079165 976.5625
uid://A002/X49a70a/X782 18.219732841165328 976.5625
uid://A002/X460fc9/X7a8 9.304213741776415 976.5625
uid://A002/X44c3c1/X460 27.10918318876265 976.5625
uid://A002/X3b55d6/X727 21.935126237434897 31250.0
uid://A002/X4320bd/X77f 26.808510638289317 31250.0
uid://A002/X3e17df/Xa88 26.80851063829787 31250.0
uid://A002/X41d520/Xf3 58.33623664140692 31250.0
uid://A002/X497d07/X538 18.196851590847114 976.5625
uid://A002/X30cca6/X9b4 68.45035990768352 976.5625
uid://A002/X4afc39/X43b 9.304839878070133 31250.0
uid://A002/X32041d/X671 65.77058593243679 976.5625
uid://A002/X321719/X723 63.2927288710603 976.5625
uid://A002/X3854ab/Xaa 58.85873507799824 976.5625
uid://A002/X321719/Xe5 68.45035990768352 976.5625
uid://A002/X368c03/X12 28.23271482112394 488.28125
uid://A002/X411025/X441 63.58273577336287 976.5625
uid://A002/X41e287/X9d0 63.58273577336287 976.5625
uid://A002/X463144/X7f5 9.225170869932734 976.5625
uid://A002/X463144/X922 9.225170869932734 976.5625
uid://A002/X45e2af/X458 18.261154068704695 31250.0
uid://A002/X47bd4d/X98b 18.367637447326974 31250.0
uid://A002/X43036c/X734 63.58273577336287 976.5625
uid://A002/X51ac2a/X4dc 18.08134980088918 976.5625
uid://A002/X4927e8/X634 27.945933282602184 122.0703125
uid://A002/X517008/X617 18.423738079948436 31250.0
uid://A002/X40f691/X4e6 18.108700371371214 976.5625
uid://A002/X5552a3/X695 67.70542551512936 976.5625
uid://A002/X44c3c1/Xdf 18.085555269392312 976.5625
uid://A002/X460fc9/Xa91 19.165362750197918 244.140625
uid://A002/X5578f1/X958 60.0715137068654 976.5625
uid://A002/X54face/X434 28.18791946308725 976.5625
uid://A002/X496160/X56e 60.67422937227887 976.5625
uid://A002/X532128/X56a 18.423738079948436 31250.0
uid://A002/X36a70f/X1c7 24.17267938635949 976.5625
uid://A002/X41c27b/X4f5 18.44125902105045 976.5625
uid://A002/X47701c/X29c 18.44125902105045 976.5625
uid://A002/X5784d5/X689 20.907038595139927 31250.0
uid://A002/X494155/Xa21 24.855505756850203 244.140625
uid://A002/X590461/X1b94 24.00000000001143 976.5625
uid://A002/X479db5/X21e 28.506787330323192 976.5625
uid://A002/X533e2c/X785 67.99376831713373 976.5625
uid://A002/X40e374/X366 18.496960954817457 30.517578125
uid://A002/X2eea47/X322 18.475073313782993 976.5625
uid://A002/X532128/X214 17.902677048931157 244.140625
uid://A002/X52f1e2/X4af 8.969138028890479 488.28125
uid://A002/X52f1e2/X182 18.446893536958036 976.5625
uid://A002/X45f1dd/X9a2 24.32367138870529 976.5625
uid://A002/X47ed8e/X20b 61.166059565178166 976.5625
uid://A002/X56a957/Xa82 59.32274052040262 30.517578125
uid://A002/X46457e/X6cd 24.32367138870529 976.5625
uid://A002/X3f6a86/X9cd 24.087800721849433 31250.0
uid://A002/X533e2c/X53c 9.379122941018727 976.5625
uid://A002/X2eaf7f/X43 18.63023420865862 976.5625
uid://A002/X45c06b/X3c4 23.77358490566038 976.5625
uid://A002/X518d2b/X8c8 9.678763993979759 488.28125
uid://A002/X460fc9/Xb16 9.678763993979759 488.28125
uid://A002/X5578f1/X4f 24.03930802791552 976.5625
uid://A002/X49a70a/X2de 8.96922913746689 488.28125
uid://A002/X40cb9e/X58 21.230954898969713 31250.0
uid://A002/X574c40/X58c 20.846004657215268 244.140625
uid://A002/X5673e2/X4f 27.124800821080637 31250.0
uid://A002/X307fb7/X925 18.26115671529038 31250.0
uid://A002/X4122f3/X258 18.636290892977108 976.5625
uid://A002/X41c27b/X2fc 18.009849540977424 244.140625
uid://A002/X41065b/X1c2 18.3753227931704 976.5625
uid://A002/X44f2b6/X201 25.250565836236063 31250.0
uid://A002/X4320bd/Xc78 25.184889066560064 31250.0
uid://A002/X41d520/Xb0b 18.367634769786847 31250.0
uid://A002/X2b8998/X192 17.951914514695343 976.5625
uid://A002/X30a93d/X43e 18.26115671529038 31250.0
uid://A002/X331413/X60f 27.66374168703955 244.140625
uid://A002/X331413/X325 28.165696287642756 976.5625
uid://A002/X515b5c/X459 18.258228827778577 244.140625
uid://A002/X496ee3/X4be 18.62885781007858 122.0703125
uid://A002/X590461/X708 9.328076530351359 31250.0
uid://A002/X590461/X886 9.328076530351359 31250.0
uid://A002/X3c7a84/X1c 58.333333333333336 976.5625
uid://A002/X30cca6/X342 18.073169873706636 976.5625
uid://A002/X3c8f66/X352 28.317306430837075 976.5625
uid://A002/X31d189/X2e1 18.26115671529038 31250.0
uid://A002/X2e7826/Xbc4 18.314242310362015 31250.0
uid://A002/X32d5f1/X46a 27.391304347826086 31250.0
uid://A002/X36bf6c/X2d0 58.514879358600076 30.517578125
uid://A002/X36e957/X826 58.514879358600076 30.517578125
uid://A002/X36a70f/Xe0e 22.18490111476487 976.5625
uid://A002/X3cb0a0/Xb7d 21.75790018995368 976.5625
uid://A002/X3b55d6/X875 22.268350698316922 976.5625
uid://A002/X44ddb2/Xdb 27.22558340534398 976.5625
uid://A002/X3e007f/X53b 26.80851063829787 31250.0
